,label,Predicted values
111987,1,1
189845,1,1
38989,1,1
159783,1,1
72524,1,1
154502,1,1
14999,1,1
190470,1,1
58434,1,1
37536,1,1
323939,0,0
276279,0,0
72535,0,0
339452,0,0
298910,0,0
332258,0,0
236415,0,0
27783,1,1
151215,1,1
180762,1,1
25340,1,1
269923,0,0
202452,0,0
235456,0,0
281182,0,0
63822,1,1
302763,0,0
229336,0,0
194462,1,1
203414,0,0
302982,0,0
106058,1,1
226102,0,0
217759,0,0
177771,1,1
88245,1,1
97617,1,1
323899,0,0
332990,0,0
33108,1,1
142025,1,1
78817,1,1
52204,1,1
235800,0,0
137166,1,1
139300,1,1
144837,1,1
92272,1,1
17004,1,1
315640,0,0
80125,1,1
236491,0,0
283437,0,1
90180,1,1
182932,1,1
219947,0,0
43918,1,1
101704,1,1
46410,1,1
218365,0,0
158327,1,1
87366,1,1
338003,0,0
127765,1,1
104801,1,1
18549,1,1
169268,1,1
121122,1,1
206655,0,0
205439,0,0
270746,0,0
85227,1,1
270283,0,0
300618,0,0
243907,0,0
190247,1,1
47660,1,1
320528,0,0
99215,1,0
177289,1,1
55413,1,1
325147,0,0
103615,0,0
283046,0,0
3435,1,1
10238,1,1
337655,0,0
212501,0,0
334795,0,0
502,1,1
338027,0,0
149176,0,0
49658,1,1
265946,0,0
263325,0,0
286336,0,0
246448,0,0
133940,0,0
86120,1,1
6920,1,1
265713,0,0
79568,1,1
332113,0,0
76635,1,1
191812,1,1
138543,0,0
242535,0,0
3834,1,1
155802,1,1
4208,1,1
143689,1,1
267227,0,0
122735,0,0
332162,0,0
315213,0,0
309886,0,0
191034,1,1
138771,1,1
39889,1,1
56547,1,1
73566,0,0
226520,0,0
216321,0,0
87338,1,1
166575,1,1
160896,1,1
337214,0,0
206798,0,0
44883,1,1
301498,0,0
3157,1,1
172299,1,1
41711,1,1
145943,0,1
300488,0,0
157050,1,1
149693,1,1
238971,0,0
1382,1,1
261653,0,0
135464,1,1
196424,0,0
39316,1,1
257936,0,1
200383,0,0
296002,0,0
253992,0,0
86267,1,1
229819,0,0
297299,0,0
27041,0,0
314243,0,0
16900,1,1
157979,1,0
113479,1,1
36587,1,1
114574,1,1
56582,0,1
225585,0,0
267533,0,0
324786,0,0
322684,0,0
213693,0,0
129683,1,1
218471,0,0
166563,1,1
330856,0,0
148444,1,1
230948,0,0
50782,1,1
134898,1,1
268341,0,0
199796,0,0
158966,1,1
100418,1,1
259277,0,0
238145,0,0
1473,1,1
262507,0,0
294714,0,0
138197,0,0
54541,1,1
270785,0,1
241360,0,0
25942,1,1
198143,0,0
300898,0,0
70048,1,1
311003,0,0
87670,0,1
96481,1,1
45740,1,1
298951,0,0
216203,0,0
293855,0,0
162481,1,1
203278,0,0
334538,0,0
310845,0,0
74258,1,1
287476,0,0
198360,0,0
54622,1,1
138495,1,1
199778,0,0
302651,0,0
201632,0,0
33054,1,1
185120,1,1
173626,1,1
184669,0,0
210236,0,0
263474,0,0
120150,1,1
255112,0,0
282563,0,0
313840,0,1
142622,1,1
79379,1,1
269272,0,0
100638,1,1
226617,0,0
182606,1,1
179254,1,1
227703,0,0
316845,0,0
34527,1,1
261582,0,0
286034,0,0
128515,1,1
300679,0,0
81162,1,1
116432,1,1
18707,1,1
56443,1,1
28423,1,1
206889,0,0
257389,0,0
66091,1,1
202844,0,0
32722,1,1
48228,1,1
83254,1,1
205044,0,0
40020,1,1
95774,1,1
15805,1,1
30703,1,1
12700,1,1
15703,1,1
276573,0,0
248871,0,0
